id,day,temperature,light_intensity,logger
968,13,16.61777778,2,12
969,14,16.61777778,2,12
970,14,16.23722222,1,12
971,14,16.80777778,1,12
972,14,16.52277778,3,12
973,14,16.71277778,2,12
974,14,17.09388889,2,12
975,14,16.80777778,0,12
976,14,16.33222222,0,12
977,14,16.61777778,27,12
978,14,16.99888889,63,12
979,14,18.14,272,12
980,14,18.33111111,336,12
981,14,18.71111111,256,12
982,14,19.47222222,368,12
983,14,20.23388889,272,12
984,14,20.615,400,12
985,14,20.805,272,12
986,14,21.09111111,84,12
987,14,20.23388889,15,12
988,14,19.09222222,2,12
989,14,19.37722222,2,12
990,14,19.28222222,2,12
991,14,18.90111111,2,12
992,14,18.61611111,2,12
993,15,17.76,2,12
994,15,17.76,3,12
995,15,17.665,3,12
996,15,17.57,3,12
997,15,16.90277778,2,12
998,15,16.42722222,1,12
999,15,16.23722222,0,12
1000,15,16.14111111,0,12
1001,15,16.33222222,24,12
1002,15,16.80777778,89,12
1003,1,22.33277778,192,13
1004,1,23.1,216,13
1005,1,22.90777778,105,13
1006,1,23.19611111,176,13
1007,1,23.77277778,6,13
1008,1,21.56888889,27,13
1009,1,21.95111111,19,13
1010,1,21.66388889,0,13
1011,1,19.85277778,0,13
1012,1,19.18722222,0,13
1013,1,18.33111111,0,13
1014,1,18.14,0,13
1015,2,17.76,0,13
1016,2,16.99888889,0,13
1017,2,16.52277778,0,13
1018,2,16.23722222,0,13
1019,2,11.33388889,0,13
